region_name,allele,frequency
AS1,185,0.003512293
AS1,179,0.057200201
AS1,167,0.003010537
AS1,164,0.002508781
AS1,173,0.73306573
AS1,182,0.002007025
AS1,176,0.198193678
AS1,170,0.000501756
AS11,146,0.000458295
AS11,172,0.010999083
AS11,149,0.003208066
AS11,144,0.00091659
AS11,181,0
AS11,153,0.027497709
AS11,156,0.184234647
AS11,168,0.043538038
AS11,165,0.262144821
AS11,159,0.036205316
AS11,175,0.003208066
AS11,162,0.427589368
AS12,143,0.001405811
AS12,155,0.014995314
AS12,162,0.336457357
AS12,168,0.010777882
AS12,165,0.617619494
AS12,140,0.000937207
AS12,159,0
AS12,171,0.005623243
AS12,152,0.012183693
AS13,201,0.001925855
AS13,198,0.002407318
AS13,178,0.0158883
AS13,184,0.3298026
AS13,174,0.014925373
AS13,192,0.006740491
AS13,181,0.002888782
AS13,187,0.590274434
AS13,206,0.017332691
AS13,195,0.007221955
AS13,190,0.010110737
AS13,171,0.000481464
AS14,212,0.185852373
AS14,209,0.085237258
AS14,224,0.024165202
AS14,227,0.007908612
AS14,197,0.041300527
AS14,192,0.002636204
AS14,230,0.007029877
AS14,200,0.015817223
AS14,218,0.026801406
AS14,187,0.014499121
AS14,203,0.01801406
AS14,206,0.425746924
AS14,195,0.005711775
AS14,233,0.00483304
AS14,221,0.050966608
AS14,215,0.083479789
AS15,146,0.003491925
AS15,143,0.016150153
AS15,122,0.209951986
AS15,134,0.094718464
AS15,128,0.153644697
AS15,149,0.002618944
AS15,119,0.054997818
AS15,131,0.124836316
AS15,115,0.025752946
AS15,125,0.219118289
AS15,153,0.003491925
AS15,156,0.023134003
AS15,137,0.04975993
AS15,140,0.013094718
AS15,112,0.005237887
AS19,146,0.004310345
AS19,143,0.000478927
AS19,185,0.04789272
AS19,140,0.004789272
AS19,179,0.537835249
AS19,173,0.003831418
AS19,160,0.007183908
AS19,182,0.245689655
AS19,136,0.007662835
AS19,153,0.001436782
AS19,176,0.008141762
AS19,157,0.022509579
AS19,133,0
AS19,188,0.006704981
AS19,166,0.101532567
AS2,201,0.057959184
AS2,198,0.144081633
AS2,180,0.00122449
AS2,112,0.001632653
AS2,155,0.019591837
AS2,174,0.00122449
AS2,164,0.006938776
AS2,186,0.044081633
AS2,195,0.310204082
AS2,183,0.02
AS2,189,0.068979592
AS2,192,0.235510204
AS2,106,0.001632653
AS2,109,0.000408163
AS2,168,0.024489796
AS2,99,0.000408163
AS2,152,0.015102041
AS2,143,0.001632653
AS2,205,0.010204082
AS2,177,0.002857143
AS2,211,0.001632653
AS2,103,0.001632653
AS2,171,0.004081633
AS2,208,0.023265306
AS2,118,0
AS2,149,0.000816327
AS2,115,0.000408163
AS20,165,1
AS21,151,0.001003512
AS21,154,0.044154541
AS21,185,0.001505268
AS21,179,0.01956849
AS21,160,0.288008028
AS21,173,0.000501756
AS21,182,0.004515805
AS21,176,0.005519318
AS21,157,0.617661816
AS21,166,0.003010537
AS21,163,0.014550928
AS25,113,0.060672196
AS25,82,0.006547359
AS25,148,0.002182453
AS25,139,0.021824531
AS25,104,0.040157137
AS25,78,0.000436491
AS25,135,0.000436491
AS25,107,0.008293322
AS25,94,0.012658228
AS25,75,0.000436491
AS25,123,0.031427324
AS25,120,0.123090354
AS25,98,0.013531209
AS25,72,0.004801397
AS25,151,0.000872981
AS25,142,0.02138804
AS25,126,0.006547359
AS25,101,0.205150589
AS25,69,0.000436491
AS25,91,0.058053252
AS25,129,0.067219555
AS25,85,0.000872981
AS25,117,0.010475775
AS25,88,0.020515059
AS25,110,0.259275426
AS25,132,0.022697512
AS3,185,0.011061947
AS3,155,0.003982301
AS3,158,0.028761062
AS3,179,0.048672566
AS3,167,0.17300885
AS3,164,0.108849558
AS3,161,0.093362832
AS3,173,0.161061947
AS3,182,0.032743363
AS3,176,0.122123894
AS3,188,0.006637168
AS3,170,0.204867257
AS3,191,0.003539823
AS3,152,0.001327434
AS31,212,0.032828283
AS31,174,0.00547138
AS31,227,0.001262626
AS31,200,0.253787879
AS31,181,0.002525253
AS31,187,0.002946128
AS31,206,0.073232323
AS31,159,0.000841751
AS31,162,0.013468013
AS31,194,0.122474747
AS31,184,0.002946128
AS31,197,0.234848485
AS31,218,0.011784512
AS31,153,0.000420875
AS31,168,0.001683502
AS31,221,0.003367003
AS31,191,0.026094276
AS31,215,0.018097643
AS31,224,0.010942761
AS31,177,0.002946128
AS31,156,0.007154882
AS31,165,0.011363636
AS31,209,0.033670034
AS31,171,0.002946128
AS31,203,0.122895623
AS32,261,0.014102564
AS32,264,0.002991453
AS32,251,0.004273504
AS32,282,0.001282051
AS32,227,0.173076923
AS32,248,0.008974359
AS32,224,0.00042735
AS32,230,0.008119658
AS32,258,0.243162393
AS32,211,0.004273504
AS32,273,0.038034188
AS32,245,0.014957265
AS32,192,0.002136752
AS32,242,0.469230769
AS32,221,0.002136752
AS32,239,0.001282051
AS32,236,0.007692308
AS32,233,0.000854701
AS32,254,0.001709402
AS32,280,0.001282051
AS34,178,0.005988024
AS34,162,0.01247505
AS34,184,0.350798403
AS34,174,0.007984032
AS34,193,0.012974052
AS34,181,0.00249501
AS34,187,0.569361277
AS34,156,0.004491018
AS34,168,0.001497006
AS34,165,0.011976048
AS34,159,0.000998004
AS34,190,0.009481038
AS34,171,0.008483034
AS34,152,0.000998004
AS4,151,0
AS4,147,0
AS4,153,0.004579279
AS4,156,0.858614768
AS4,159,0.129937035
AS4,162,0.006868918
AS7,151,0.001744186
AS7,185,0.003488372
AS7,194,0.002325581
AS7,179,0.008139535
AS7,167,0.011627907
AS7,164,0.01627907
AS7,197,0.00755814
AS7,174,0.237209302
AS7,162,0.004651163
AS7,182,0.006395349
AS7,176,0.012209302
AS7,188,0.004069767
AS7,171,0.684302326
AS8,201,0.467587673
AS8,204,0.036663124
AS8,194,0.011689692
AS8,198,0.406482465
AS8,222,0.008501594
AS8,219,0.036663124
AS8,218,0.032412327
Ara2,146,0.106844741
Ara2,143,0.166527546
Ara2,127,0.002921536
Ara2,155,0.010434057
Ara2,158,0.014607679
Ara2,161,0.004173623
Ara2,149,0.088480801
Ara2,130,0.042153589
Ara2,133,0.050500835
Ara2,136,0.243739566
Ara2,124,0.000834725
Ara2,165,0.004173623
Ara2,139,0.210767947
Ara2,152,0.053839733
B7M19,155,0.568502503
B7M19,158,0.000455166
B7M19,138,0.005006827
B7M19,164,0.326354119
B7M19,172,0.078288575
B7M19,189,0.002275831
B7M19,147,0.009558489
B7M19,150,0
B7M19,153,0.000455166
B7M19,181,0.009103323
PFG377,143,0.001581444
PFG377,71,0.001581444
PFG377,89,0.004744333
PFG377,80,0.012651555
PFG377,113,0.002635741
PFG377,136,0.001581444
PFG377,107,0.086979441
PFG377,119,0
PFG377,122,0.001054296
PFG377,94,0.013178703
PFG377,100,0.232472325
PFG377,110,0.026357406
PFG377,68,0.001054296
PFG377,103,0.537691091
PFG377,82,0.001054296
PFG377,139,0.001581444
PFG377,97,0.07327359
PFG377,85,0.000527148
PfPK2,155,0.01150748
PfPK2,179,0.120061373
PfPK2,164,0.001534331
PfPK2,200,0.032220944
PfPK2,182,0.113540468
PfPK2,206,0.01726122
PfPK2,176,0.134253932
PfPK2,140,0.001917913
PfPK2,212,0.003835827
PfPK2,221,0.001150748
PfPK2,185,0.078250863
PfPK2,194,0.051400077
PfPK2,197,0.057153817
PfPK2,219,0.000383583
PfPK2,188,0.049482163
PfPK2,191,0.053701573
PfPK2,151,0.001917913
PfPK2,167,0.002301496
PfPK2,209,0.00575374
PfPK2,170,0.056770234
PfPK2,158,0.002685079
PfPK2,149,0.001917913
PfPK2,173,0.174530111
PfPK2,203,0.026467204
PolyA,155,0.055261893
PolyA,179,0.051898126
PolyA,164,0.096588179
PolyA,200,0.000480538
PolyA,182,0.027390678
PolyA,176,0.057184046
PolyA,139,0.013935608
PolyA,105,0.000961076
PolyA,96,0.000480538
PolyA,115,0.000480538
PolyA,185,0.017299375
PolyA,194,0.005766458
PolyA,161,0.122056704
PolyA,197,0.001441615
PolyA,109,0.003844306
PolyA,102,0.000480538
PolyA,124,0.002883229
PolyA,188,0.011052379
PolyA,99,0.02402691
PolyA,121,0.000480538
PolyA,152,0.040845747
PolyA,127,0.001922153
PolyA,142,0.003844306
PolyA,167,0.0427679
PolyA,170,0.095146564
PolyA,158,0.169629986
PolyA,191,0.024507448
PolyA,149,0.039884671
PolyA,173,0.061989428
PolyA,130,0.001922153
PolyA,133,0.001922153
PolyA,136,0.001922153
PolyA,203,0.002402691
PolyA,111,0.002883229
PolyA,118,0.000480538
PolyA,145,0.013935608
TA1,134,0.001546193
TA1,199,0.007344414
TA1,174,0.169308079
TA1,227,0.003478933
TA1,147,0.013529184
TA1,181,0.075763433
TA1,187,0.062234248
TA1,140,0.016235021
TA1,196,0.006957866
TA1,159,0.003865481
TA1,220,0.001546193
TA1,162,0.011209896
TA1,184,0.130266718
TA1,223,0.000773096
TA1,214,0.000773096
TA1,193,0.028604561
TA1,153,0.004252029
TA1,168,0.053730189
TA1,190,0.021646695
TA1,205,0.00618477
TA1,177,0.105527638
TA1,150,0.003478933
TA1,217,0.001159644
TA1,211,0.003865481
TA1,165,0.104367994
TA1,171,0.117124082
TA1,131,0.001159644
TA1,208,0.007344414
TA1,144,0.011982992
TA1,156,0.002705837
TA1,137,0.010436799
TA1,202,0.011596444
TA109,146,0.002463054
TA109,180,0.027504105
TA109,155,0.19909688
TA109,174,0.015599343
TA109,187,0.00410509
TA109,140,0.005336617
TA109,196,0.019293924
TA109,199,0.004926108
TA109,183,0.004515599
TA109,158,0.023809524
TA109,161,0.009441708
TA109,193,0.013136289
TA109,168,0.217569787
TA109,190,0.013136289
TA109,152,0.20771757
TA109,143,0.006978654
TA109,205,0.003284072
TA109,177,0.041871921
TA109,217,0.006157635
TA109,211,0.000410509
TA109,165,0.128489327
TA109,171,0.020935961
TA109,208,0.002463054
TA109,149,0.007799672
TA109,136,0
TA109,202,0.013957307
TA40,201,0
TA40,277,0.040462428
TA40,289,0.005780347
TA40,235,0.006262042
TA40,207,0.000481696
TA40,250,0.032273603
TA40,259,0.022639692
TA40,247,0.077071291
TA40,265,0.053468208
TA40,222,0.001445087
TA40,241,0.014932563
TA40,280,0.047687861
TA40,238,0.013969171
TA40,283,0.026493256
TA40,244,0.005298651
TA40,204,0
TA40,229,0
TA40,268,0.255780347
TA40,292,0.00867052
TA40,217,0.001445087
TA40,226,0.000963391
TA40,210,0.002408478
TA40,232,0.003853565
TA40,299,0.000963391
TA40,301,0.002408478
TA40,307,0.001445087
TA40,256,0.014450867
TA40,262,0.024084778
TA40,274,0.05539499
TA40,286,0.011560694
TA40,271,0.184489403
TA40,253,0.083815029
TA60,199,0.010031348
TA60,179,0.002507837
TA60,224,0.042633229
TA60,227,0.008777429
TA60,197,0.004388715
TA60,160,0.005015674
TA60,218,0.198746082
TA60,205,0.240752351
TA60,156,0.020689655
TA60,209,0.152351097
TA60,212,0.07460815
TA60,202,0.015047022
TA60,221,0.068965517
TA60,215,0.155485893
TA81,146,0.002926421
TA81,143,0.009197324
TA81,131,0.115384615
TA81,112,0.017558528
TA81,155,0.002926421
TA81,158,0.003762542
TA81,128,0.154264214
TA81,118,0.043896321
TA81,149,0.00041806
TA81,162,0.005434783
TA81,115,0.013795987
TA81,125,0.219063545
TA81,134,0.206103679
TA81,137,0.018812709
TA81,165,0.010869565
TA81,140,0.007525084
TA81,107,0
TA81,121,0.1659699
TA81,104,0.002090301
TA81,152,0
TA87,116,0.0492891
TA87,100,0.154976303
TA87,122,0.043127962
TA87,127,0.003791469
TA87,113,0.167298578
TA87,125,0.002843602
TA87,119,0.029383886
TA87,106,0.138862559
TA87,94,0.025118483
TA87,88,0.004265403
TA87,130,0.000947867
TA87,133,0.000947867
TA87,136,0.001421801
TA87,141,0
TA87,91,0.030805687
TA87,103,0.119905213
TA87,82,0.004739336
TA87,97,0.039336493
TA87,109,0.176777251
TA87,139,0.000947867
TA87,85,0.00521327
